日期,时间,温度,湿度,光照强度,电压
2004/2/28,7:29:16,17.7442,38.872,235.52,2.67532
2004/2/28,7:29:46,17.754,38.8379,235.52,2.68742
2004/2/28,7:36:17,17.8324,38.7357,309.12,2.67532
2004/2/28,7:39:17,17.8618,38.7698,338.56,2.67532
2004/2/28,7:41:17,17.8912,38.6675,353.28,2.68742
2004/2/28,7:41:46,17.901,38.6675,353.28,2.68742
2004/2/28,7:43:47,17.95,38.6334,368.0,2.67532
2004/2/28,7:59:46,18.3224,38.1897,382.72,2.68742
2004/2/28,8:06:47,18.5772,37.7792,397.44,2.68742
2004/2/28,8:08:16,18.636,37.7107,397.44,2.68742
2004/2/28,8:11:16,18.7732,37.5394,397.44,2.67532
2004/2/28,8:12:48,18.8516,37.4022,412.16,2.68742
2004/2/28,8:13:18,18.8614,37.3336,412.16,2.68742
2004/2/28,8:13:47,18.8908,37.2993,412.16,2.68742
2004/2/28,8:14:16,18.9202,37.2993,412.16,2.68742
2004/2/28,8:14:47,18.93,37.2307,412.16,2.68742
2004/2/28,8:15:17,18.9496,37.162,412.16,2.68742
2004/2/28,8:15:46,18.9594,37.2307,412.16,2.68742
2004/2/28,8:19:47,19.1652,36.7839,397.44,2.68742
2004/2/28,8:21:17,19.1848,36.7495,397.44,2.68742
2004/2/28,8:49:17,20.2824,34.8834,412.16,2.69964
2004/2/28,9:16:17,21.3702,33.2808,441.6,2.71196
2004/2/28,9:16:47,21.3996,33.2808,441.6,2.69964
2004/2/28,9:26:48,21.8112,32.7557,441.6,2.71196
2004/2/28,9:29:47,21.8896,32.5452,456.32,2.7244
2004/2/28,9:53:18,22.6834,31.7368,478.4,2.7244
2004/2/28,9:54:18,22.6344,31.948,478.4,2.73696
2004/2/28,9:54:47,22.6442,31.8072,478.4,2.7244
2004/2/28,9:55:16,22.7128,31.7368,478.4,2.71196
2004/2/28,9:59:47,22.8108,31.7016,478.4,2.7244
2004/2/28,10:00:17,22.8304,31.6312,478.4,2.73696
2004/2/28,10:00:47,22.8794,31.5254,478.4,2.7244
2004/2/28,10:01:17,22.8892,31.5254,507.84,2.7244
2004/2/28,10:04:48,22.9872,31.3844,507.84,2.7244
2004/2/28,10:05:47,23.0068,31.4197,507.84,2.7244
2004/2/28,10:06:17,23.0264,31.4549,507.84,2.7244
2004/2/28,10:07:17,23.0558,31.3139,507.84,2.73696
2004/2/28,10:07:47,23.0754,31.3139,507.84,2.7244
2004/2/28,10:08:47,23.0852,31.3139,507.84,2.73696
2004/2/28,10:10:17,23.0852,31.3844,507.84,2.7244
2004/2/28,10:10:49,23.1146,31.3139,507.84,2.7244
2004/2/28,10:12:48,23.193,31.1374,507.84,2.7244
2004/2/28,10:15:48,23.2616,31.1374,507.84,2.73696
2004/2/28,10:16:46,23.3008,31.1021,507.84,2.7244
2004/2/28,10:18:17,23.3596,31.0314,507.84,2.73696
2004/2/28,10:18:47,23.3302,31.0667,507.84,2.7244
2004/2/28,10:21:17,23.34,31.1727,507.84,2.7244
2004/2/28,10:23:17,23.4576,30.9608,507.84,2.73696
2004/2/28,10:23:47,23.487,30.8901,507.84,2.73696
2004/2/28,10:24:17,23.5262,30.8547,507.84,2.73696
2004/2/28,10:24:48,23.5164,30.8901,507.84,2.73696
2004/2/28,10:25:47,23.6046,30.7486,507.84,2.7244
2004/2/28,10:26:17,23.6536,30.6779,507.84,2.73696
2004/2/28,10:26:47,23.683,30.6779,507.84,2.74963
2004/2/28,10:27:18,23.6732,30.6779,507.84,2.73696
2004/2/28,10:27:46,23.683,30.6779,507.84,2.73696
